created_time,_id,positive,negative,neutral,compound,subjectivity,flair,flair score,aspect terms,aspect tb polarity,aspect tb subjectivity,aspect flair
2017-03-26T10:40:20+0000,,0,0.106,0.894,-0.4939,0.29,NEGATIVE,-0.995958745479584,current/pale/,-0.105,0.29,-0.00484102964401245
2016-03-06T22:48:24+0000,,0,0,1,0,0,POSITIVE,0.989564895629883,,0,0,0
2016-06-13T11:38:48+0000,,0.099,0.289,0.612,-0.6808,0.488888888888889,NEGATIVE,-0.952344477176666,Better/afraid/unsure/nervous/uncalculating/,-0.02,0.28,-0.232561910152435
2017-02-10T09:42:56+0000,,0.133,0.087,0.78,0.25,0,NEGATIVE,-0.970595359802246,sneaky/next/,0,0,0.829158574342728
2017-01-01T00:54:15+0000,,0,0,1,0,0,POSITIVE,0.505508005619049,,0,0,0
2016-05-31T06:08:35+0000,,0,0,1,0,0,NEGATIVE,-0.999660134315491,,0,0,0
2017-02-28T16:10:29+0000,,0.127,0.112,0.761,0.0772,0.6,NEGATIVE,-0.523871839046478,Dutch/no different/,0,0.3,-0.193155318498611
2016-11-17T19:05:11+0000,,0.288,0,0.712,0.7553,0.866666666666667,NEGATIVE,-0.999925374984741,clever/,0.166666666666667,0.833333333333333,0.998367369174957
2017-03-20T18:03:07+0000,,0,0.412,0.588,-0.1027,0,POSITIVE,0.957242369651794,,0,0,0
2016-10-02T19:46:25+0000,,0,0.178,0.822,-0.5994,0.2,POSITIVE,0.907964825630188,,0,0,0
2016-06-26T18:42:40+0000,,0,0,1,0,0.45,POSITIVE,0.997715950012207,,0,0,0
2016-07-25T16:46:12+0000,,0,0.162,0.838,-0.4404,0.52,NEGATIVE,-0.947033524513245,such/high/,0.08,0.52,0.907738775014877
2016-07-16T09:00:58+0000,,0,0,1,0,0.158333333333333,NEGATIVE,-0.607852637767792,same/several/,0,0.0625,0.66865673661232
2017-02-10T09:38:51+0000,,0,0,1,0,0,POSITIVE,0.993086516857147,,0,0,0
2016-11-16T19:34:12+0000,,0,0,1,0,0,NEGATIVE,-0.999580919742584,barbaric/,0,0,-0.999966979026794
2016-03-08T10:16:17+0000,,0,0,1,0,0,POSITIVE,0.99204421043396,closer/,0,0,0.997174143791199
2016-03-08T10:16:17+0000,,0.209,0,0.791,0.4404,0.3,POSITIVE,0.867258191108704,GOOD/,0.7,0.6,0.931395173072815
2017-01-24T11:46:22+0000,,0,0.434,0.566,-0.3182,0,NEGATIVE,-0.98409640789032,,0,0,0
2016-06-11T12:47:32+0000,,0,0,1,0,0,POSITIVE,0.501915514469147,,0,0,0
2016-03-19T10:24:53+0000,,0.143,0,0.857,0.3612,0.357142857142857,POSITIVE,0.971386015415192,,0,0,0
2016-05-28T18:49:36+0000,,0.062,0.202,0.736,-0.8206,0.230208333333333,NEGATIVE,-0.997277081012726,white/European/more/Iraqi/Pakistani/economic/political/,0.1,0.114285714285714,0.394384384155273
2016-06-22T04:13:38+0000,,0.408,0,0.592,0.7034,0.75,POSITIVE,0.909658789634705,,0,0,0
2016-06-24T04:43:09+0000,,0,0,1,0,0,POSITIVE,0.977291941642761,,0,0,0
2016-06-23T09:32:04+0000,,0,0,1,0,0,POSITIVE,0.911907732486725,,0,0,0
2017-02-23T01:10:48+0000,,0,0.5,0.5,-0.25,0,POSITIVE,0.916910588741303,,0,0,0
2016-06-13T20:30:25+0000,,0.11,0.052,0.838,0.4588,0.521428571428572,NEGATIVE,-0.538567304611206,respective/huge/Titanic/dark/morally bankrupt/wealthy/,0.125,0.441666666666667,-0.076117863257726
2016-11-20T05:11:07+0000,,0,0.437,0.563,-0.3252,0.65,NEGATIVE,-0.999881029129028,true/,0.35,0.65,0.997733473777771
2016-07-16T09:00:58+0000,,0,0.107,0.893,-0.34,0.5,POSITIVE,0.94880598783493,only old/prophetic/Western/,0.0166666666666667,0.2,0.318279723326365
2016-11-11T20:43:39+0000,,0,0,1,0,0,POSITIVE,0.999522805213928,3rd/,0,0,0.930013060569763
2016-10-28T11:11:50+0000,,0.293,0,0.707,0.4404,0.6,POSITIVE,0.833130598068237,good/,0.7,0.6,0.931395173072815
2016-07-25T20:50:24+0000,,0,0.137,0.863,-0.5583,0,NEGATIVE,-0.997870206832886,,0,0,0
2016-11-16T21:58:11+0000,,0.263,0,0.737,0.3612,0,NEGATIVE,-0.982613980770111,barbaric/,0,0,-0.999966979026794
2016-06-24T04:17:55+0000,,0.419,0,0.581,0.5574,0.9,POSITIVE,0.991779863834381,fantastic/,0.4,0.9,0.993227064609528
2016-09-02T17:30:42+0000,,0,0,1,0,0,NEGATIVE,-0.999069631099701,Caledonian/,0,0,0.947175323963165
2016-07-04T21:37:04+0000,,0.75,0,0.25,0.4588,1,POSITIVE,0.986260831356049,,0,0,0
2017-01-28T20:43:20+0000,,0,0.141,0.859,-0.3182,0.5,NEGATIVE,-0.708720505237579,medieval/,0,0,0.769038677215576
2016-06-12T17:57:56+0000,,0,0.677,0.323,-0.743,0,NEGATIVE,-0.998624801635742,unspeakable/,0,0,-0.992355823516846
2016-06-02T07:42:28+0000,,0,0,1,0,0.568181818181818,NEGATIVE,-0.992844879627228,ordinary/new/,-0.0568181818181818,0.477272727272727,0.0531246066093445
2016-06-13T20:30:25+0000,,0,0.375,0.625,-0.0516,0,NEGATIVE,-0.949793875217438,,0,0,0
2016-06-28T15:38:02+0000,,0.24,0,0.76,0.6249,0.625,POSITIVE,0.990087449550629,,0,0,0
2016-06-01T10:01:23+0000,,0,0,1,0,0.6,POSITIVE,0.960224211215973,different/,0,0.6,-0.909278690814972
2017-03-25T01:32:34+0000,,0,0,1,0,0,POSITIVE,0.982983827590942,,0,0,0
2017-01-02T15:10:21+0000,,0,0.167,0.833,-0.296,0.2,NEGATIVE,-0.776278018951416,as much/,0.2,0.2,0.668616950511932
2016-05-31T06:08:35+0000,,0,0,1,0,0,POSITIVE,0.918581128120422,,0,0,0
2016-12-04T06:22:06+0000,,0,0,1,0,0.5,NEGATIVE,-0.588037252426148,common/biggest/,-0.15,0.25,0.79011681675911
2016-07-01T11:22:25+0000,,0,0,1,0,1,POSITIVE,0.946576595306397,own/,0.6,1,0.966281414031982
2016-06-26T08:12:56+0000,,0,0,1,0,0,POSITIVE,0.61500209569931,Roman/,0,0,-0.752468526363373
2016-05-28T18:49:36+0000,,0,0,1,0,0,NEGATIVE,-0.999864101409912,,0,0,0
2017-02-02T00:45:57+0000,,0,0.108,0.892,-0.5267,0.0833333333333333,NEGATIVE,-0.983382046222687,last/,0,0.0666666666666667,0.641749799251556
2017-03-08T19:25:45+0000,,0,0,1,0,0,POSITIVE,0.983033120632172,medieval/,0,0,0.769038677215576
2016-05-31T06:08:35+0000,,0,0,1,0,0,POSITIVE,0.87111496925354,,0,0,0
2016-12-03T08:01:39+0000,,0.041,0,0.959,0.128,0.0541666666666667,POSITIVE,0.98994117975235,British/legal/medieval/same/,0.05,0.08125,0.804510578513145
2017-03-11T08:07:17+0000,,0.116,0.24,0.644,-0.4404,0.55,NEGATIVE,-0.998015642166138,extra/stupid/,-0.4,0.55,0.00234591960906982
2016-11-20T05:11:07+0000,,0.371,0,0.629,0.7579,0.717857142857143,POSITIVE,0.993527710437775,fair/,0.7,0.9,-0.99515163898468
2017-01-17T17:27:22+0000,,0,1,0,-0.5106,0.8,NEGATIVE,-0.98237419128418,,0,0,0
2016-06-19T15:26:28+0000,,0,0.074,0.926,-0.2111,0.366666666666667,NEGATIVE,-0.994212448596954,little/less relevant/real/,0.0430555555555556,0.427777777777778,-0.230152765909831
2016-06-21T13:55:16+0000,,0,0,1,0,0,POSITIVE,0.924234747886658,biggest/,0,0,0.862594544887543
2016-11-12T08:03:37+0000,,0,0.158,0.842,-0.3089,0,NEGATIVE,-0.999647378921509,,0,0,0
2016-09-11T21:48:18+0000,,0,0,1,0,0.288888888888889,POSITIVE,0.847203969955444,,0,0,0
2016-10-24T15:19:17+0000,,0,0,1,0,0,NEGATIVE,-0.999580562114716,barbaric/,0,0,-0.999966979026794
2016-10-20T12:38:12+0000,,0.112,0.144,0.745,-0.1531,0.285714285714286,NEGATIVE,-0.98324054479599,certain/British/,0.107142857142857,0.285714285714286,0.972460567951202
2016-08-07T11:10:46+0000,,0,0.1,0.9,-0.2732,0,NEGATIVE,-0.990793764591217,,0,0,0
2017-02-28T16:10:29+0000,,0,0.145,0.855,-0.296,0.5,NEGATIVE,-0.926913738250732,grown/,0,0,0.996147871017456
2016-06-19T11:50:04+0000,,0,0,1,0,0,NEGATIVE,-0.649355351924896,,0,0,0
2016-11-17T08:48:35+0000,,0.206,0.28,0.514,-0.4882,0.869047619047619,NEGATIVE,-0.999388694763184,so cruel/barbaric/sick/,-0.571428571428572,0.619047619047619,-0.999824464321137
2016-03-08T10:16:17+0000,,0,0,1,0,0,POSITIVE,0.970882773399353,,0,0,0
2016-06-26T07:57:09+0000,,0,0,1,0,0,POSITIVE,0.615421891212463,,0,0,0
2017-03-13T19:08:23+0000,,0,0,1,0,0,POSITIVE,0.756942391395569,,0,0,0
2016-05-04T22:26:19+0000,,0,0.18,0.82,-0.296,0,NEGATIVE,-0.999240279197693,,0,0,0
2017-03-08T15:28:16+0000,,0,0,1,0,0.288888888888889,NEGATIVE,-0.996419429779053,,0,0,0
2016-06-28T15:57:22+0000,,0,0,1,0,0.25,NEGATIVE,-0.601043343544006,21st/more/declarative/,0.166666666666667,0.166666666666667,0.981277386347453
2016-07-20T15:08:09+0000,,0.239,0,0.761,0.296,0.5,NEGATIVE,-0.591486036777496,,0,0,0
2017-02-28T16:10:29+0000,,0.061,0,0.939,0.0772,0.29375,POSITIVE,0.978641629219055,British/other/,-0.0625,0.1875,0.914568305015564
2016-12-28T20:35:24+0000,,0,0,1,0,0,NEGATIVE,-0.958412289619446,,0,0,0
2017-01-19T11:41:05+0000,,0,0,1,0,0.25,NEGATIVE,-0.971855521202087,Howcan/highest/aware/,0.0833333333333333,0.0833333333333333,0.332204083601634
2017-02-25T11:53:06+0000,,0,0.108,0.892,-0.2924,0,NEGATIVE,-0.998077630996704,democratic/,0,0,0.912915587425232
2016-11-25T00:21:30+0000,,0.078,0,0.922,0.3182,0.75,POSITIVE,0.931983292102814,original/Roman/,0.1875,0.375,0.123192578554153
2016-11-09T21:37:53+0000,,0,0.376,0.624,-0.3412,0.833333333333333,NEGATIVE,-0.999539613723755,easy/,0.433333333333333,0.833333333333333,0.690072298049927
2016-03-19T10:24:53+0000,,0,0,1,0,0,NEGATIVE,-0.996271014213562,,0,0,0
2016-08-02T23:43:37+0000,,0,0.524,0.476,-0.296,0,POSITIVE,0.605925559997559,,0,0,0
2016-07-15T15:47:34+0000,,0,0.346,0.654,-0.4019,0.175,NEGATIVE,-0.999257385730743,,0,0,0
2016-07-25T16:30:29+0000,,0,0.13,0.87,-0.2732,0.3,NEGATIVE,-0.943995237350464,still low/,0,0.3,-0.999803960323334
2016-12-14T12:56:15+0000,,0.31,0,0.69,0.4019,1,NEGATIVE,-0.738394677639008,own/,0.6,1,0.966281414031982
2016-11-12T08:03:37+0000,,0,0.182,0.818,-0.7964,0.275,NEGATIVE,-0.999531030654907,racist/left/full/,0.116666666666667,0.183333333333333,-0.343499819437663
2016-05-14T19:57:21+0000,,0,0,1,0,0,POSITIVE,0.933692574501038,,0,0,0
2016-11-20T05:11:07+0000,,0.362,0,0.638,0.5267,0,NEGATIVE,-0.651516377925873,,0,0,0
2016-08-15T14:31:52+0000,,0,0.405,0.595,-0.9567,0,NEGATIVE,-0.999864816665649,cruelest/British/stunned/,0,0,-0.341143091519674
2017-01-19T09:18:46+0000,,0.087,0.362,0.551,-0.6705,0,NEGATIVE,-0.981920778751373,,0,0,0
2016-03-16T05:04:09+0000,,0,0,1,0,0.533333333333333,POSITIVE,0.995494842529297,pivotal/many/modern/,0.4,0.533333333333333,0.971663316090902
2016-10-11T06:59:20+0000,,0,0,1,0,0,NEGATIVE,-0.565489292144775,samarbeide/med/,0,0,0.743979007005692
2016-07-20T14:08:42+0000,,0,0,1,0,0,NEGATIVE,-0.546576857566834,,0,0,0
2016-06-19T06:05:10+0000,,0,0,1,0,0,POSITIVE,0.998802542686462,,0,0,0
