created_time,_id,positive,negative,neutral,compound,subjectivity,flair,flair score,aspect terms,aspect tb polarity,aspect tb subjectivity,aspect flair,lexicon score
2016-04-16T21:45:24+0000,,0,0,1,0,0.1,POSITIVE,0.856462061405182,,0,0,0,0.171
2016-07-05T23:58:57+0000,,0,0,1,0,0.4,NEGATIVE,-0.996819257736206,narrow/minded/minded/blinkered/blinkered/,-0.04,0.08,-0.20065495967865,0.0945
2017-03-23T12:34:08+0000,,0,0,1,0,0,POSITIVE,0.910380959510803,,0,0,0,0
2016-11-28T17:09:25+0000,,0,0,1,0,0,NEGATIVE,-0.895533680915833,,0,0,0,-0.0095
2016-10-20T07:54:42+0000,,0,0,1,0,0,NEGATIVE,-0.93197226524353,,0,0,0,0.0529
2016-06-24T23:05:59+0000,,0,0,1,0,0,POSITIVE,0.964244723320007,,0,0,0,0.0654
2016-06-17T00:14:09+0000,,0.082,0.094,0.824,-0.1027,0.51875,POSITIVE,0.988690972328186,private/private/private/individual/individual/individual/individual/individual/individual/individual/individual/,0,0.393181818181818,0.989645773714239,0.2039
2016-06-28T02:16:23+0000,,0.084,0.077,0.839,0.0258,0.125,POSITIVE,0.957041561603546,independent/independent/,0,0.125,0.998295485973358,0.1401
2016-10-09T08:00:38+0000,,0,0,1,0,0.38,POSITIVE,0.997474849224091,near/near/near/,0.1,0.4,-0.57703572511673,0.0833
2016-06-25T14:15:09+0000,,0.069,0.133,0.798,-0.296,0,NEGATIVE,-0.99329137802124,,0,0,0,-0.296
2017-03-14T10:20:48+0000,,0,0,1,0,1,POSITIVE,0.997779190540314,,0,0,0,0.0586
2016-11-08T16:35:18+0000,,0,0,1,0,0,POSITIVE,0.98390007019043,,0,0,0,0
2016-06-23T19:18:29+0000,,0,0,1,0,0,POSITIVE,0.979898035526276,,0,0,0,0.0582
2016-11-29T18:08:00+0000,,0,0,1,0,0,POSITIVE,0.996581494808197,,0,0,0,0
2016-11-24T15:30:05+0000,,0,0,1,0,0,NEGATIVE,-0.998276114463806,EDLs/EDLs/EDLs/EDLs/EDLs/EDLs/EDLs/EDLs/EDLs/,0,0,-0.528029680252075,-0.0217
2017-03-21T12:50:02+0000,,0,0.254,0.746,-0.6249,0,NEGATIVE,-0.999145150184631,,0,0,0,-0.6447
2016-04-16T15:21:25+0000,,0,0.216,0.784,-0.8056,0.688888888888889,NEGATIVE,-0.995271503925324,,0,0,0,-0.7638
2016-12-31T23:06:13+0000,,0.425,0,0.575,0.5719,0.727272727272727,POSITIVE,0.993000268936157,,0,0,0,0.2063
2016-06-17T16:48:18+0000,,0.104,0,0.896,0.2732,0.525,NEGATIVE,-0.994651138782501,,0,0,0,0.1813
2016-06-18T17:01:47+0000,,0,0,1,0,0,NEGATIVE,-0.912173748016357,,0,0,0,-0.0338
2017-03-08T14:14:50+0000,,0,0,1,0,0,NEGATIVE,-0.987810909748077,,0,0,0,0
2016-06-20T00:00:42+0000,,0,0.271,0.729,-0.7443,1,NEGATIVE,-0.956786692142487,rational/rational/,0,0,0.998505473136902,-0.265
2016-10-13T18:06:11+0000,,0,0.364,0.636,-0.9331,0,NEGATIVE,-0.999270021915436,perverse/perverse/perverse/remain/remain/remain/remain/remain/remain/even lower/even lower/even lower/even lower/even lower/even lower/even lower/even lower/,0,0,-0.364347338676453,-0.6945
2016-10-02T20:16:54+0000,,0,0,1,0,0.1,NEGATIVE,-0.997267842292786,,0,0,0,0.0918
2017-01-03T14:32:31+0000,,0,0,1,0,0.535714285714286,NEGATIVE,-0.728037178516388,right/right/right/right/right/,0.285714285714286,0.535714285714286,0.989590346813202,0.1093
2016-06-25T05:10:50+0000,,0.097,0.228,0.675,-0.9053,0.529761904761905,NEGATIVE,-0.99940812587738,so afraid/so afraid/so afraid/so afraid/islamophobic/islamophobic/islamophobic/islamophobic/islamophobic/islamophobic/islamophobic/islamophobic/islamophobic/islamophobic/islamophobic/islamophobic/islamophobic/irrational/irrational/irrational/irrational/irrational/irrational/irrational/irrational/irrational/irrational/irrational/gay/gay/gay/gay/gay/gay/gay/human/human/human/human/human/human/human/human/human/human/human/human/human/human/human/human/human/human/irrational/irrational/irrational/irrational/irrational/irrational/irrational/irrational/Islamic/Islamic/,0.00820105820105821,0.1505291005291,-0.331611496115488,-0.9495
2016-07-03T20:23:41+0000,,0,0.071,0.929,-0.296,0.625,NEGATIVE,-0.999889612197876,able/able/able/able/allied/allied/,0.333333333333333,0.416666666666667,0.470113734404246,-0.125
2017-01-17T22:02:26+0000,,0,0,1,0,0.535714285714286,NEGATIVE,-0.573842585086823,,0,0,0,0.166
2017-02-25T12:25:24+0000,,0,0.252,0.748,-0.6929,0.333333333333333,NEGATIVE,-0.958638906478882,little/pre/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/inherent/inherent/inherent/inherent/inherent/inherent/,-0.0078125,0.0208333333333333,0.840307268003623,-0.7316
2016-06-26T14:51:21+0000,,0,0,1,0,0,POSITIVE,0.946094334125519,stay/stay/,0,0,0.911150872707367,0
2017-03-04T21:06:19+0000,,0.095,0.189,0.716,-0.5719,0.400909090909091,NEGATIVE,-0.999611556529999,Mental/Mental/Mental/Mental/Mental/Mental/Mental/Mental/Mental/Mental/Mental/Mental/Mental/Mental/Mental/Mental/Mental/grave/emotional/emotional/emotional/emotional/emotional/emotional/emotional/emotional/emotional/emotional/emotional/incapable/incapable/incapable/incapable/incapable/incapable/incapable/,-0.0472222222222222,0.293055555555556,0.470014737712012,-0.1708
2016-11-17T11:00:37+0000,,0.136,0.205,0.659,-0.1144,0.25,NEGATIVE,-0.968365013599396,Logical/Logical/Logical/Logical/Logical/Logical/Logical/Logical/Logical/Logical/Logical/Logical/,0.25,0.25,0.999739468097687,0.8045
2017-03-27T14:30:26+0000,,0.105,0.081,0.814,0.1531,0.166666666666667,NEGATIVE,-0.999367535114288,English/English/English/English/English/English/English/English/English/English/English/English/English/English/English/,0,0,0.832335770130158,0.6338
2016-12-27T22:07:20+0000,,0,0.042,0.958,-0.0258,0.666666666666667,NEGATIVE,-0.998364865779877,hysterical/hysterical/hysterical/hysterical/rubbish/rubbish/rubbish/rubbish/rubbish/rubbish/rubbish/rubbish/facts-/facts-/facts-/facts-/facts-/facts-/facts-/facts-/facts-/facts-/,-0.181818181818182,0.181818181818182,0.186204465952787,0.3418
2016-10-10T03:10:05+0000,,0,0,1,0,0.535714285714286,POSITIVE,0.999571263790131,right/right/,0.285714285714286,0.535714285714286,0.989590346813202,0.0681
2017-01-08T15:38:16+0000,,0.575,0,0.425,0.8578,0.366666666666667,NEGATIVE,-0.621421337127686,good/good/good/good/European/European/,0.466666666666667,0.4,0.951760749022166,0.7819
2016-06-22T14:06:21+0000,,0.213,0,0.787,0.4019,0,POSITIVE,0.995943486690521,,0,0,0,0.4477
2016-12-29T09:23:24+0000,,0,0.241,0.759,-0.2263,0,NEGATIVE,-0.996700823307037,British/,0,0,0.95611697435379,-0.1279
2016-05-11T21:44:33+0000,,0.073,0,0.927,0.128,0.35,NEGATIVE,-0.709492027759552,most/Islamic/Islamic/Islamic/Islamic/non/non/non/non/non/non/non/non/non/legal/,0.0466666666666667,0.0466666666666667,-0.167610251903534,0.0149
2017-01-30T22:52:07+0000,,0,0.333,0.667,-0.25,0,NEGATIVE,-0.992456078529358,,0,0,0,-0.25
2017-02-06T15:31:43+0000,,0.136,0.056,0.808,0.4939,0.9,POSITIVE,0.595478415489197,hilarious/hilarious/hilarious/hilarious/hilarious/hilarious/hilarious/hilarious/hilarious/hilarious/hilarious/hilarious/reputable/reputable/reputable/reputable/reputable/reputable/reputable/reputable/reputable/reputable/reputable/reputable/reputable/reputable/reputable/reputable/reputable/reputable/,0.5,0.88,0.996298396587372,0.4814
2017-01-06T20:36:56+0000,,0,0,1,0,0,NEGATIVE,-0.998588979244232,,0,0,0,0
2016-06-30T21:08:12+0000,,0,0,1,0,0,NEGATIVE,-0.966156542301178,,0,0,0,0.0767
2016-06-27T09:55:54+0000,,0,0,1,0,0.0666666666666667,NEGATIVE,-0.846827507019043,last/last/,0,0.0666666666666667,0.641749322414398,0.0287
2016-09-05T17:21:54+0000,,0,0,1,0,0,NEGATIVE,-0.950169444084168,,0,0,0,0
2017-03-27T04:22:30+0000,,0.045,0.195,0.76,-0.6551,1,NEGATIVE,-0.999232053756714,muslim/muslim/muslim/muslim/muslim/muslim/stupid/stupid/stupid/stupid/stupid/stupid/stupid/stupid/stupid/stupid/stupid/muslim/muslim/,-0.463157894736842,0.578947368421053,-0.925460853074726,-0.4442
2016-12-13T09:01:06+0000,,0,0,1,0,0,POSITIVE,0.985159814357758,,0,0,0,0.1126
2016-07-15T17:48:59+0000,,0.326,0,0.674,0.7003,0.25,POSITIVE,0.995116710662842,French/underground/Greek/Greek/Greek/Greek/Greek/Greek/Greek/total/total/,0,0.136363636363636,0.943503341891549,0.7855
2017-03-21T23:18:08+0000,,0.167,0.137,0.696,0.1124,0.444444444444444,NEGATIVE,-0.953438103199005,sure/sure/sure/sure/sure/sure/sure/sure/present/present/,0.4,0.711111111111111,0.986888039112091,0.4675
2016-08-30T20:18:27+0000,,0,0,1,0,0,POSITIVE,0.999948978424072,,0,0,0,0
2016-06-23T10:58:03+0000,,0,0,1,0,0.2,NEGATIVE,-0.999518752098084,old/old/old/,0.1,0.2,-0.999815046787262,0.0861
2017-01-25T15:53:47+0000,,0.085,0,0.915,0.6249,0.32962962962963,NEGATIVE,-0.988473355770111,,0,0,0,0.6253
2016-11-23T20:35:47+0000,,0,0.312,0.688,-0.4588,0,POSITIVE,0.996623516082764,,0,0,0,-0.117
2017-01-21T16:04:07+0000,,0.234,0.234,0.532,0,0.5,POSITIVE,0.966179490089417,,0,0,0,0.0061
2017-03-27T19:09:24+0000,,0,0,1,0,0,POSITIVE,0.996164679527283,,0,0,0,-0.0236
2016-07-11T16:16:13+0000,,0.294,0,0.706,0.3612,0,NEGATIVE,-0.998744249343872,,0,0,0,0.1961
2017-02-08T16:02:22+0000,,0,0,1,0,0.2,POSITIVE,0.868959009647369,,0,0,0,0
2016-12-30T21:50:54+0000,,0,0.076,0.924,-0.4215,0.5,POSITIVE,0.997708916664124,upper/upper/lower/lower/lower/lower/federal/federal/federal/federal/federal/federal/federal/own/own/own/own/own/own/own/own/own/,0.245454545454545,0.409090909090909,0.431808485226198,-0.1361
2017-05-25T21:11:49+0000,,0,0,1,0,0,POSITIVE,0.993744313716888,,0,0,0,-0.0287
2016-05-17T17:13:35+0000,,0,0,1,0,0,POSITIVE,0.995303273200989,,0,0,0,0.1051
2016-04-26T07:26:34+0000,,0,0,1,0,0,POSITIVE,0.932324171066284,,0,0,0,0.0644
2017-03-01T14:30:50+0000,,0.083,0.061,0.856,0.2023,0.50952380952381,NEGATIVE,-0.999634861946106,bureaucratic/bureaucratic/bureaucratic/bureaucratic/large/large/large/large/large/large/large/large/large/large/large/far concerned/far concerned/far concerned/,0.147619047619048,0.428571428571429,-0.555730826324887,0.6397
2016-06-25T15:53:08+0000,,0.367,0.467,0.167,-0.1531,1,NEGATIVE,-0.979370832443237,,0,0,0,0.2221
2016-11-24T18:13:19+0000,,0,0,1,0,0,POSITIVE,0.559254229068756,,0,0,0,0
2017-01-14T13:45:14+0000,,0,0,1,0,0.2,NEGATIVE,-0.999684572219849,,0,0,0,0.0257
2016-11-18T16:07:15+0000,,0.107,0.056,0.837,0.2732,0,NEGATIVE,-0.779573917388916,English/English/English/English/English/English/English/English/English/English/English/English/English/English/English/English/English/English/English/,0,0,0.832335770130158,0.3346
2017-03-03T11:02:35+0000,,0,0,1,0,0.311355311355311,NEGATIVE,-0.968321084976196,regular/regular/regular/regular/regular/regular/simple/simple/simple/simple/simple/sufficient/sufficient/sufficient/sufficient/sufficient/drastic/drastic/,0,0.124847374847375,0.0929369628429413,0.4796
2016-07-21T19:35:03+0000,,0,0,1,0,0,POSITIVE,0.96595972776413,,0,0,0,0
2016-08-01T22:27:11+0000,,0.162,0,0.838,0.4404,0.166666666666667,NEGATIVE,-0.993454098701477,better/better/better/better/better/better/better/better/better/better/,0.5,0.5,0.981102883815765,0.0837
2016-12-07T13:01:36+0000,,0.217,0,0.783,0.7022,0.25,POSITIVE,0.982662081718445,,0,0,0,0.5997
2015-10-10T14:50:20+0000,,0,0,1,0,1,POSITIVE,0.961122751235962,,0,0,0,0.0647
